condition_code,activity_type,verdict,note,reviewer,reviewed_at
chronic_back_pain,walk,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,neck_isometric,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,shoulder_circles,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,lower_back_side_stretch,modify,"Seated and gentle, but it is direct lateral spine flexion. Keep the range small and stop at any symptom change.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,glute_bridge,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,dead_bug,modify,"Commonly used for spinal stability, but requires a neutral spine held throughout. Reduce range if the lower back lifts off the floor.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,hamstring_stretch,modify,Use a supine (lying) or standing variant rather than the seated floor reach.,product-team (not clinically reviewed),2026-08-14
chronic_back_pain,quad_stretch,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,calf_stretch,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,ankle_circles,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,wrist_circles,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
chronic_back_pain,running,modify,Running adds repeated impact loading to the spine that walking does not. Start with a run/walk mix and stop if any symptom travels below the knee.,product-team (not clinically reviewed),2026-08-14
herniated_disk,walk,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
herniated_disk,neck_isometric,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
herniated_disk,shoulder_circles,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
herniated_disk,lower_back_side_stretch,modify,"Seated and gentle, but it is direct lateral spine flexion. Keep the range small and stop at any symptom change.",product-team (not clinically reviewed),2026-08-14
herniated_disk,glute_bridge,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
herniated_disk,dead_bug,modify,"Commonly used for spinal stability, but requires a neutral spine held throughout. Reduce range if the lower back lifts off the floor.",product-team (not clinically reviewed),2026-08-14
herniated_disk,hamstring_stretch,avoid,Seated floor version is a loaded flexed-spine position. Substitute a supine or chair variant before offering this for a disc or stenosis diagnosis.,product-team (not clinically reviewed),2026-08-14
herniated_disk,quad_stretch,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
herniated_disk,calf_stretch,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
herniated_disk,ankle_circles,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
herniated_disk,wrist_circles,safe,"Gentle, low-load movement with no specific concern for this condition.",product-team (not clinically reviewed),2026-08-14
